confectionery_name,province,phone_number,cost,work_start,work_end,confectionery_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
"نان و شیرینی,بوتیک کیک الهیه 33 (شهرک غرب)",شهرک غرب,88099533,2,08:00:00,22:00:00,شهرک غرب، خیابان دادمان، نرسیده به یادگار شماره ۱۳۰,False,False,False,False,False,False,False,True,5,4,4,4,0,35.76366750000059,51.34863064190036
نان و شیرینی بوکه,خیابان خردمند شمالی,09198073005,2,09:00:00,20:30:00,خیابان خردمند شمالی،خیابان دهم،پلاک ۱۷,False,False,False,False,False,False,False,True,0,0,0,0,0,35.71798967774778,51.42005503177643
نان و شیرینی باتربیکری,ونک,88044584,2,07:30:00,22:00:00,ونک،خیابان ملاصدرا،نبش چهارراه شیخ بهائی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.75669300016408,51.39664471149444
شیرینی فروشی درنا,ستارخان,66501644,2,08:00:00,23:00:00,ستارخان، نبش نیایش، پلاک ۳۳۵,False,False,False,False,False,False,False,True,0,0,0,0,0,35.71703620616017,51.36576350870655
"کافه,نان و شیرینی دوبار (پارک پرنس)",ميدان ونک,88611766,2,08:00:00,22:00:00,ميدان ونک،‌ خیابان ملاصدرا،‌ خروجی خیابان ملاصدرا به سمت بزرگراه كردستان,False,False,False,False,False,False,False,True,0,0,0,0,0,35.75834504364847,51.4026153087616
"کافه,نان و شیرینی لوف باکس",سعادت آباد,22386812,2,09:00:00,22:00:00,سعادت آباد، بلوار کوهستان، مرکز تجاری اُپال,False,False,False,False,False,False,True,True,0,0,0,0,0,35.77715937665268,51.35118931531906
"کافه,نان و شیرینی بیکری روستار",اقدسیه,26455478,2,09:00:00,23:00:00,اقدسیه،نبش خیابان فیرزو بخش،جنب سفارت چین،مجتمع تجاری آوا سنتر،طبقه منفی ۲,False,False,False,False,False,False,False,True,0,0,0,0,0,35.80477269023174,51.47680319845676
"کافه,نان و شیرینی,شیرینی فروشی لوندر (فرشته)",فرشته,22394251,2,07:30:00,22:00:00,فرشته، خیابان بوسنی هرزگوین، خیابان دکتر حسابی، پلاک ۱۳/۱,False,False,True,False,False,False,False,True,0,0,0,0,0,35.79631517084929,51.42342656850815
شیرینی فروشی تواضع,نارمک,77901631,2,08:00:00,22:00:00,نارمک،خیابان افشاری،بین خیابان ثانی و دماوند,False,False,False,False,False,False,False,True,0,0,0,0,0,35.71537913363563,51.48517102003097
شیرینی فروشی اکلر (نیاوران),خیابان نیاوران,26112133,2,08:30:00,22:30:00,خیابان نیاوران،روبروی پمب بنزین نیاوران،شماره211,False,False,False,False,False,False,False,True,0,0,0,0,0,35.81282148054282,51.45587056875229
